a,e,i,omega,Omega,f,L
5.20222188063307,0.048281033508756406,1.3035892983882253,273.47134252865783,100.51747855062274,45.33758306596065,69.47881237422756
9.54584567874982,0.05465193028020308,2.487482816565467,338.22791944245944,113.59662458155441,250.69667920319583,80.33473221964893
19.19231467118341,0.04723562892221872,0.7721151039806692,96.93754657681481,74.00714138418519,242.06354649390374,228.81409865699337
30.07611532211681,0.00875961255033333,1.7701863929600206,272.48243779996767,131.7812863338115,313.2411437379834,42.496537929882464
9.54584567874982,0.08000000000000018,2.4874828165653207,38.22791944245943,113.59662458155441,250.69667920319583,203.1639416147695
9.570638465286134,0.08000000000000015,2.4874828165653207,38.22791944245933,113.59662458155441,250.69667920319586,203.1639416147695
9.595431251822445,0.08000000000000007,2.487482816565467,38.22791944245933,113.59662458155441,250.69667920319586,203.16394161476947
9.620224038358751,0.08000000000000018,2.4874828165653207,38.22791944245964,113.59662458155441,250.69667920319563,203.16394161476975
9.645016824895064,0.08000000000000003,2.487482816565467,38.22791944245943,113.59662458155441,250.69667920319577,203.1639416147695
9.669809611431372,0.08000000000000011,2.4874828165653207,38.22791944245959,113.59662458155441,250.69667920319563,203.16394161476967
9.694602397967687,0.08000000000000002,2.487482816565467,38.22791944245959,113.59662458155441,250.69667920319566,203.16394161476975
9.719395184503995,0.08000000000000027,2.4874828165653207,38.22791944245964,113.59662458155441,250.69667920319563,203.16394161476975
9.74418797104031,0.08000000000000011,2.487482816565467,38.22791944245938,113.59662458155441,250.69667920319583,203.1639416147696
9.768980757576616,0.08000000000000021,2.487482816565467,38.22791944245964,113.59662458155441,250.69667920319563,203.16394161476975
9.793773544112929,0.0800000000000001,2.487482816565467,38.22791944245969,113.59662458155441,250.69667920319552,203.1639416147698
9.818566330649242,0.08000000000000007,2.487482816565467,38.22791944245949,113.59662458155441,250.6966792031957,203.1639416147696
9.84335911718555,0.0800000000000001,2.4874828165653207,38.22791944245954,113.59662458155441,250.6966792031957,203.16394161476967
9.86815190372186,0.08000000000000024,2.487482816565467,38.22791944245959,113.59662458155441,250.69667920319563,203.1639416147696
9.892944690258172,0.08000000000000015,2.487482816565467,38.22791944245964,113.59662458155441,250.69667920319563,203.16394161476973
9.91773747679448,0.08000000000000013,2.4874828165656138,38.227919442459736,113.59662458155441,250.69667920319546,203.16394161476998
9.942530263330799,0.08000000000000006,2.487482816565467,38.22791944245938,113.59662458155441,250.69667920319583,203.1639416147696
9.967323049867106,0.08000000000000017,2.487482816565467,38.22791944245954,113.59662458155441,250.6966792031957,203.16394161476967
9.992115836403418,0.08000000000000011,2.4874828165653207,38.22791944245954,113.59662458155441,250.69667920319566,203.16394161476975
10.016908622939727,0.08000000000000011,2.487482816565467,38.22791944245959,113.59662458155441,250.69667920319563,203.1639416147698
